annotator_id,order_index,sample_id,is_anchor
P3-01,0,iemocap_Ses05F_impro04_F001,0
P3-01,1,mosi_dq3Nf_lMPnE_11,0
P3-01,2,iemocap_Ses04M_impro02_F026,0
P3-01,3,meld_dia143_utt3,0
P3-01,4,iemocap_Ses02M_script01_1_M025,0
P3-01,5,iemocap_Ses01F_impro01_M013,0
P3-01,6,mosi_aiEXnCPZubE_19,0
P3-01,7,mosi_BXuRRbG0Ugk_31,0
P3-01,8,chsims_video_0023_0028,1
P3-01,9,iemocap_Ses02F_script02_1_M006,0
P3-01,10,meld_dia430_utt2,0
P3-01,11,mosi_OtBXNcAL_lE_22,0
P3-01,12,chsims_video_0002_0009,1
P3-01,13,mustard_1_5880,0
P3-01,14,chsims_video_0029_0016,0
P3-01,15,iemocap_Ses01F_script03_2_M003,0
P3-01,16,meld_dia717_utt4,1
P3-01,17,meld_dia342_utt2,0
P3-01,18,meld_dia645_utt6,1
P3-01,19,meld_dia249_utt11,0
P3-01,20,iemocap_Ses03M_script01_3_M010,1
P3-01,21,chsims_aqgy5_0012_00020,0
P3-01,22,chsims_aqgy5_0030_00004,0
P3-01,23,mosi_yvsjCA6Y5Fc_19,0
P3-01,24,meld_dia155_utt8,1
P3-01,25,meld_dia317_utt1,1
P3-01,26,meld_dia798_utt5,0
P3-01,27,iemocap_Ses04F_impro05_F003,0
P3-01,28,iemocap_Ses04F_script02_1_F002,1
P3-01,29,chsims_video_0018_0007,0
P3-01,30,mosi_d6hH302o4v8_42,0
P3-01,31,mosi_Oz06ZWiO20M_23,0
P3-01,32,iemocap_Ses02F_script01_2_F012,0
P3-01,33,mustard_1_5679,0
P3-01,34,chsims_aqgy5_0007_00032,0
P3-01,35,chsims_aqgy5_0017_00023,0
P3-01,36,meld_dia918_utt6,0
P3-01,37,mosi_Clx4VXItLTE_3,0
P3-01,38,iemocap_Ses05M_script03_1_M021,1
P3-01,39,meld_dia548_utt3,0
P3-01,40,meld_dia936_utt12,0
P3-01,41,iemocap_Ses02M_script01_3_M009,0
P3-01,42,iemocap_Ses01M_script03_2_M031,0
P3-01,43,chsims_video_0040_0027,0
P3-01,44,meld_dia236_utt7,0
P3-01,45,chsims_video_0060_0009,0
P3-01,46,iemocap_Ses04F_script01_1_F038,0
P3-01,47,chsims_aqgy5_0009_00037,0
P3-01,48,chsims_aqgy3_0001_00020,0
P3-01,49,iemocap_Ses01F_script02_1_F018,0
P3-01,50,mustard_1_971,0
P3-01,51,meld_dia111_utt5,0
P3-01,52,iemocap_Ses02M_script02_2_M014,0
P3-01,53,chsims_aqgy3_0008_00014,0
P3-01,54,iemocap_Ses02F_impro04_F006,0
P3-01,55,chsims_video_0054_0128,0
P3-01,56,mosi_HEsqda8_d0Q_23,0
P3-01,57,mustard_2_242,1
P3-01,58,meld_dia93_utt0,0
P3-01,59,mustard_1_3660,0
P3-01,60,iemocap_Ses02F_script02_1_M039,0
P3-01,61,iemocap_Ses02F_impro01_F017,0
P3-01,62,mustard_2_541,0
P3-01,63,iemocap_Ses03M_impro05a_M017,0
P3-01,64,meld_dia983_utt5,1
P3-01,65,chsims_video_0047_0060,0
P3-01,66,iemocap_Ses04M_impro01_M021,0
P3-01,67,chsims_video_0053_0009,0
P3-01,68,iemocap_Ses02M_impro01_M014,0
P3-01,69,meld_dia241_utt8,0
P3-01,70,mosi_Sqr0AcuoNnk_1,0
P3-01,71,iemocap_Ses02M_impro08_M002,0
P3-01,72,iemocap_Ses03M_script03_2_F043,0
P3-01,73,meld_dia193_utt5,0
P3-01,74,meld_dia896_utt1,0
P3-01,75,iemocap_Ses01M_script02_2_F018,0
P3-01,76,iemocap_Ses04M_impro04_F016,0
P3-01,77,meld_dia120_utt0,0
P3-01,78,iemocap_Ses03F_script03_1_F022,0
P3-01,79,meld_dia919_utt0,0
P3-01,80,iemocap_Ses02F_impro08_M001,0
P3-01,81,chsims_aqgy5_0018_00001,0
P3-01,82,chsims_video_0006_0001,0
P3-01,83,iemocap_Ses04M_script02_2_M025,0
