display_id,source_id,dataset,status
S0001,chsims_aqgy4_0008_00039,chsims,active
S0002,iemocap_Ses04M_impro02_F026,iemocap,active
S0003,meld_dia130_utt12,meld,active
S0004,mosi_Qr1Ca94K55A_12,mosi,active
S0005,chsims_aqgy3_0005_00014,chsims,active
S0006,iemocap_Ses01M_impro01_M019,iemocap,active
S0007,mosi_HEsqda8_d0Q_19,mosi,active
S0008,mustard_1_10495,mustard,active
S0009,mosi_yDtzw_Y-7RU_4,mosi,active
S0010,chsims_video_0047_0078,chsims,active
S0011,mustard_1_10797,mustard,active
S0012,iemocap_Ses02M_script01_2_F011,iemocap,active
S0013,iemocap_Ses05F_impro03_F042,iemocap,active
S0014,iemocap_Ses01M_impro07_F004,iemocap,active
S0015,iemocap_Ses03F_script03_1_F006,iemocap,active
S0016,meld_dia143_utt3,meld,active
S0017,iemocap_Ses03M_script01_1_F034,iemocap,active
S0018,meld_dia806_utt3,meld,active
S0019,mustard_1_1931,mustard,active
S0020,chsims_video_0056_0077,chsims,active
S0021,chsims_aqgy5_0025_00009,chsims,active
S0022,meld_dia851_utt13,meld,active
S0023,iemocap_Ses05F_script01_3_F003,iemocap,active
S0024,meld_dia175_utt11,meld,active
S0025,chsims_aqgy5_0029_00010,chsims,active
S0026,mosi_ob23OKe5a9Q_4,mosi,active
S0027,meld_dia962_utt2,meld,active
S0028,chsims_video_0005_0012,chsims,active
S0029,chsims_aqgy3_0006_00001,chsims,active
S0030,chsims_video_0013_0028,chsims,active
S0031,mustard_2_34,mustard,active
S0032,iemocap_Ses03F_impro06_F004,iemocap,active
S0033,chsims_video_0001_0032,chsims,active
S0034,iemocap_Ses05F_impro05_F011,iemocap,active
S0035,meld_dia352_utt1,meld,active
S0036,iemocap_Ses03M_script01_2_F014,iemocap,active
S0037,chsims_video_0025_0053,chsims,active
S0038,meld_dia434_utt11,meld,active
S0039,meld_dia791_utt10,meld,active
S0040,mosi_tmZoasNr4rU_13,mosi,active
S0041,mosi_yvsjCA6Y5Fc_4,mosi,active
S0042,mosi_iiK8YX8oH1E_4,mosi,active
S0043,iemocap_Ses03M_script01_3_M017,iemocap,active
S0044,mustard_1_7661,mustard,active
S0045,chsims_video_0010_0005,chsims,active
S0046,iemocap_Ses04M_impro01_M016,iemocap,active
S0047,iemocap_Ses03M_script01_2_F016,iemocap,active
S0048,iemocap_Ses04M_impro08_F014,iemocap,active
S0049,iemocap_Ses02M_impro03_F008,iemocap,active
S0050,iemocap_Ses04F_impro04_F004,iemocap,active
S0051,meld_dia572_utt18,meld,active
S0052,chsims_aqgy4_0007_00023,chsims,active
S0053,mosi_PZ-lDQFboO8_12,mosi,active
S0054,chsims_aqgy5_0009_00023,chsims,active
S0055,meld_dia802_utt0,meld,active
S0056,iemocap_Ses02M_impro07_F017,iemocap,active
S0057,chsims_aqgy5_0011_00016,chsims,active
S0058,meld_dia873_utt5,meld,active
S0059,meld_dia508_utt13,meld,active
S0060,iemocap_Ses05M_script01_3_M038,iemocap,active
S0061,mosi_G-xst2euQUc_7,mosi,active
S0062,mosi_VbQk4H8hgr0_14,mosi,active
S0063,mustard_2_69,mustard,active
S0064,meld_dia907_utt4,meld,active
S0065,mustard_1_8045,mustard,active
S0066,mosi_BXuRRbG0Ugk_16,mosi,active
S0067,chsims_aqgy5_0017_00020,chsims,active
S0068,meld_dia296_utt10,meld,active
S0069,chsims_video_0039_0008,chsims,active
S0070,iemocap_Ses03F_script03_2_F040,iemocap,active
S0071,iemocap_Ses01M_impro07_F023,iemocap,active
S0072,chsims_aqgy5_0012_00008,chsims,active
S0073,iemocap_Ses05F_script01_3_F009,iemocap,active
S0074,meld_dia989_utt11,meld,active
S0075,iemocap_Ses03F_script02_1_F014,iemocap,active
S0076,iemocap_Ses05F_impro04_F022,iemocap,active
