group,display_id,source_id,dataset,annotators
A,S0369,mosi_jUzDDGyPkXU_7,mosi,TR-01+TR-02+YOE-01
A,S0628,mustard_1_2778,mustard,TR-01+TR-02+YOE-01
A,S1090,mosi_dq3Nf_lMPnE_5,mosi,TR-01+TR-02+YOE-01
A,S1321,chsims_video_0054_0123,chsims,TR-01+TR-02+YOE-01
A,S1497,iemocap_Ses03M_impro03_F004,iemocap,TR-01+TR-02+YOE-01
A,S1521,meld_dia275_utt9,meld,TR-01+TR-02+YOE-01
A,S2409,chsims_video_0053_0006,chsims,TR-01+TR-02+YOE-01
A,S2597,meld_dia923_utt2,meld,TR-01+TR-02+YOE-01
A,S3156,chsims_video_0054_0032,chsims,TR-01+TR-02+YOE-01
A,S3182,iemocap_Ses03F_script01_3_M038,iemocap,TR-01+TR-02+YOE-01
B,S0191,iemocap_Ses03F_impro03_F015,iemocap,TR-03+TR-04+YOE-01
B,S0797,meld_dia329_utt10,meld,TR-03+TR-04+YOE-01
B,S0925,mosi_7JsX8y1ysxY_24,mosi,TR-03+TR-04+YOE-01
B,S1555,meld_dia17_utt6,meld,TR-03+TR-04+YOE-01
B,S2155,chsims_video_0055_0033,chsims,TR-03+TR-04+YOE-01
B,S2336,mosi_tIrG4oNLFzE_13,mosi,TR-03+TR-04+YOE-01
B,S2736,chsims_video_xjzw_00067,chsims,TR-03+TR-04+YOE-01
B,S2775,meld_dia762_utt2,meld,TR-03+TR-04+YOE-01
B,S2842,iemocap_Ses03F_script01_3_F034,iemocap,TR-03+TR-04+YOE-01
B,S3041,mustard_2_512,mustard,TR-03+TR-04+YOE-01
