annotator_id,order_index,sample_id,is_anchor
TR-01,0,meld_dia275_utt9,1
TR-01,1,iemocap_Ses03F_script01_3_M038,1
TR-01,2,mosi_dq3Nf_lMPnE_5,1
TR-01,3,mosi_jUzDDGyPkXU_7,1
TR-01,4,meld_dia923_utt2,1
TR-01,5,chsims_video_0054_0032,1
TR-01,6,chsims_video_0054_0123,1
TR-01,7,iemocap_Ses03M_impro03_F004,1
TR-01,8,chsims_video_0053_0006,1
TR-01,9,mustard_1_2778,1
TR-02,0,chsims_video_0053_0006,1
TR-02,1,iemocap_Ses03F_script01_3_M038,1
TR-02,2,iemocap_Ses03M_impro03_F004,1
TR-02,3,mosi_jUzDDGyPkXU_7,1
TR-02,4,mustard_1_2778,1
TR-02,5,meld_dia275_utt9,1
TR-02,6,mosi_dq3Nf_lMPnE_5,1
TR-02,7,chsims_video_0054_0032,1
TR-02,8,meld_dia923_utt2,1
TR-02,9,chsims_video_0054_0123,1
TR-03,0,meld_dia762_utt2,1
TR-03,1,meld_dia17_utt6,1
TR-03,2,iemocap_Ses03F_script01_3_F034,1
TR-03,3,chsims_video_0055_0033,1
TR-03,4,chsims_video_xjzw_00067,1
TR-03,5,mosi_7JsX8y1ysxY_24,1
TR-03,6,mosi_tIrG4oNLFzE_13,1
TR-03,7,meld_dia329_utt10,1
TR-03,8,iemocap_Ses03F_impro03_F015,1
TR-03,9,mustard_2_512,1
TR-04,0,chsims_video_xjzw_00067,1
TR-04,1,mosi_7JsX8y1ysxY_24,1
TR-04,2,meld_dia17_utt6,1
TR-04,3,meld_dia762_utt2,1
TR-04,4,mosi_tIrG4oNLFzE_13,1
TR-04,5,iemocap_Ses03F_script01_3_F034,1
TR-04,6,mustard_2_512,1
TR-04,7,chsims_video_0055_0033,1
TR-04,8,iemocap_Ses03F_impro03_F015,1
TR-04,9,meld_dia329_utt10,1
SUP-01,0,iemocap_Ses03F_impro03_F015,1
SUP-01,1,mosi_jUzDDGyPkXU_7,1
SUP-01,2,mustard_1_2778,1
SUP-01,3,meld_dia329_utt10,1
SUP-01,4,mosi_7JsX8y1ysxY_24,1
SUP-01,5,mosi_dq3Nf_lMPnE_5,1
SUP-01,6,chsims_video_0054_0123,1
SUP-01,7,iemocap_Ses03M_impro03_F004,1
SUP-01,8,meld_dia275_utt9,1
SUP-01,9,meld_dia17_utt6,1
SUP-01,10,chsims_video_0055_0033,1
SUP-01,11,mosi_tIrG4oNLFzE_13,1
SUP-01,12,chsims_video_0053_0006,1
SUP-01,13,meld_dia923_utt2,1
SUP-01,14,chsims_video_xjzw_00067,1
SUP-01,15,meld_dia762_utt2,1
SUP-01,16,iemocap_Ses03F_script01_3_F034,1
SUP-01,17,mustard_2_512,1
SUP-01,18,chsims_video_0054_0032,1
SUP-01,19,iemocap_Ses03F_script01_3_M038,1
